Category,Name,Price
"Nước ngọt, nước trà",24 lon nước ngọt Pepsi Cola 330ml,203000
"Nước ngọt, nước trà",24 chai nước tăng lực Sting 330ml,230000
"Nước ngọt, nước trà",Thùng 24 chai nước bù khoáng 500ml,215000
"Nước ngọt, nước trà",6 chai nước bù khoáng Revive 500ml,56000
"Nước ngọt, nước trà",Soda Schweppes lon nhỏ 330ml,6300
"Nước ngọt, nước trà",24 chai nước Wake Up 247 330ml,211000
"Nước ngọt, nước trà",6 chai nước Wake Up 247 330ml,53000
"Nước ngọt, nước trà",Nước uống bù khoáng Revive 500ml,10100
"Nước ngọt, nước trà",Nước tăng lực Wake Up 247 330ml,9400
"Nước ngọt, nước trà",24 lon nước Monster Ultra 355ml,696000
"Nước ngọt, nước trà",24 chai trà lúa mạch Mugicha 500ml,550000
"Nước ngọt, nước trà",24 chai trà xanh không đường 500ml,550000
"Nước ngọt, nước trà",Thùng 24 chai trà đào Pokka 500ml,455000
"Nước ngọt, nước trà",12 chai Pokka không đường 1.5 lít,420000
"Nước ngọt, nước trà",Thùng 24 chai lớn trà Pokka 500ml,365000
"Nước ngọt, nước trà",Thùng 24 chai trà xanh Pokka 500ml,365000
"Nước ngọt, nước trà",24 chai trà xanh C2 ít đường 500ml,300000
"Nước ngọt, nước trà",Thùng 24 lon trà xanh Pokka 300ml,278000
"Nước ngọt, nước trà",Thùng 24 lon Coca Cola Plus 320ml,270000
"Nước ngọt, nước trà",Thùng 24 chai nước điện giải 350ml,270000
"Nước ngọt, nước trà",12 hộp trà Vfresh ít đường 1 lít,260000
"Nước ngọt, nước trà",24 lon trà thảo mộc Panda 310ml,250000
"Nước ngọt, nước trà",12 hộp Vfresh không đường 1 lít,248000
"Nước ngọt, nước trà",Thùng 24 chai trà Dr.Thanh 455ml,235000
"Nước ngọt, nước trà",24 lon nước Coca cà phê 330ml,232000
"Nước ngọt, nước trà",Thùng 24 lon Mirinda đá me 330ml,232000
"Nước ngọt, nước trà",12 chai Mirinda xá xị 1.5 lít,230000
"Nước ngọt, nước trà",Thùng 12 chai Mirinda cam 1.5 lít,230000
"Nước ngọt, nước trà",12 chai Fanta soda kem 1.5 lít,230000
"Nước ngọt, nước trà",24 lon nước uống Sting dâu 320ml,230000
"Nước ngọt, nước trà",Thùng 12 chai Mirinda soda 1.5 lít,230000
"Nước ngọt, nước trà",24 lon nước tăng lực Redbull 250ml,226000
"Nước ngọt, nước trà",24 lon trà xanh lài Yeo's 300ml,225000
"Nước ngọt, nước trà",24 lon trà hoa cúc Yeo's 300ml,225000
"Nước ngọt, nước trà",24 lon trà bí đao Yeo's 300ml,225000
"Nước ngọt, nước trà",Thùng 24 lon Coca Cola Zero 320ml,222000
"Nước ngọt, nước trà",24 lon nước ngọt Coca Cola 320ml,222000
"Nước ngọt, nước trà",Thùng 24 lon Pepsi vị chanh 320ml,220000
"Nước ngọt, nước trà",Thùng 24 lon Pepsi 0 calo 320ml,220000
"Nước ngọt, nước trà",24 lon nước ngọt 7Up chanh 330ml,220000
"Nước ngọt, nước trà",Thùng 24 chai Fanta soda kem 600ml,218000
"Nước ngọt, nước trà",24 chai nước ngọt Fanta cam 600ml,218000
"Nước ngọt, nước trà",24 chai nước ngọt Coca Cola 600ml,218000
"Nước ngọt, nước trà",24 chai nước có gas Sprite 600ml,218000
"Nước ngọt, nước trà",24 lon nước ngọt Mirinda cam 330ml,218000
"Nước ngọt, nước trà",24 chai tăng lực Warrior 330ml,216000
"Nước ngọt, nước trà",24 lon nước ngọt Coca Light 330ml,215000
"Nước ngọt, nước trà",Thùng 24 chai trà Vfresh 350ml,215000
"Nước ngọt, nước trà",24 lon nước tăng lực Carabao 250ml,215000
"Nước ngọt, nước trà",Thùng 24 chai trà xanh Tea+ 455ml,212000
